country,year,sex,list,agf,cause_new,total,d20_new,d30_new,d40_new,d50_new,d60_new,d70_new,d80_new,d90_new,d95p
GBRTENW,2010,1,interm,3,51,15202.71,9.25,41.99,244.9,958.15,1990.23,3278.24,5023.01,3356.37,300.56
GBRTENW,2010,1,interm,3,52,25895.12,4.12,36.88,342.37,1215.45,3132.2,5310.23,8736.66,6454.23,662.96
GBRTENW,2010,1,interm,3,53,1360.84,9.36,8.19,32.79,79.09,197.19,292.74,446.24,271.36,23.87
GBRTENW,2010,1,interm,3,54,1921.8,6.18,4.09,20.45,50.71,124.75,279.68,734.14,646.49,55.34
GBRTENW,2010,1,interm,3,55,65.24,9.23,15.37,14.35,5.07,5.04,2.01,7.02,7.17,0
GBRTENW,2010,1,interm,3,56,3403.1,4.17,4.09,9.23,27.37,103.62,339.84,1071.34,1548.31,295.13
GBRTENW,2010,1,interm,3,57,3724.44,73.37,88.02,196.62,288.12,406.48,585.48,944.69,976.74,164.93
GBRTENW,2011,1,interm,3,1,185016.39,3843.23,2425.38,4875.33,9332.67,19728.26,36358.8,58147.36,45049.15,5256.4
GBRTENW,2011,1,interm,3,48,329.64,2.03,3.09,8.21,12.15,27.16,78.21,122.33,73.19,3.28
GBRTENW,2011,1,interm,3,49,300.21,0,0,2.05,5.06,11.06,31.08,101.33,126.66,22.97
GBRTENW,2011,1,interm,3,50,1673.14,0,6.18,38.9,88.09,228.3,304.82,538.57,411.41,56.87
GBRTENW,2011,1,interm,3,51,13951.9,7.16,37.06,256.02,870.79,1871.7,3006.09,4576.24,3089.5,237.34
GBRTENW,2011,1,interm,3,52,24131.64,4.1,47.36,318.46,1166.29,2830.05,5002.43,7924.91,6216.79,621.23
GBRTENW,2011,1,interm,3,53,943,12.3,19.57,27.65,61.76,104.6,216.58,292.86,191.31,16.41
GBRTENW,2011,1,interm,3,54,2114.11,3.06,6.17,22.54,45.54,152.87,308.84,754.29,758.46,62.34
GBRTENW,2011,1,interm,3,55,51.11,8.15,12.37,5.13,4.06,4.02,3,4.01,8.19,2.19
GBRTENW,2011,1,interm,3,56,2241.7,3.06,1.03,6.14,19.25,70.39,244.64,704.2,999.39,193.59
GBRTENW,2011,1,interm,3,57,3907.14,79.95,59.74,150.55,277.49,463.66,589.56,1004.95,1113.92,167.34
GBRTENW,2012,1,interm,3,1,190395.34,3698.49,2327.09,4546.82,9202.61,19040.98,37194.88,59959,48792.94,5632.47
GBRTENW,2012,1,interm,3,48,355.51,0,2.05,5.11,11.18,30.2,59.18,130.39,113.05,4.37
GBRTENW,2012,1,interm,3,49,326.7,0,2.05,5.1,5.08,17.11,37.11,86.29,140.1,33.85
GBRTENW,2012,1,interm,3,50,1728.73,3.06,4.1,33.72,101.53,207.43,341.03,537.66,456.52,43.68
GBRTENW,2012,1,interm,3,51,13533.24,6.08,45.11,228.75,784.57,1664.45,3033.13,4406.17,3077.79,287.19
GBRTENW,2012,1,interm,3,52,24274.07,12.19,37.96,291.01,1120.52,2648.14,4961.76,8057.54,6453.69,691.23
GBRTENW,2012,1,interm,3,53,961.43,9.22,16.4,29.63,62.93,114.79,224.68,281.86,204.48,17.47
GBRTENW,2012,1,interm,3,54,2138.12,2.02,4.1,17.36,54.84,130.88,336.96,756.39,747.1,88.45
GBRTENW,2012,1,interm,3,55,56.95,10.16,12.31,7.16,3.05,10.07,6.01,4.01,3.08,1.09
GBRTENW,2012,1,interm,3,56,2329.68,2.03,1.02,5.1,30.45,67.47,216.62,731.4,1075.74,199.83
GBRTENW,2012,1,interm,3,57,4138.26,76.69,72.78,152.18,282.3,361.49,534.6,1058.33,1334.53,265.35
GBRTENW,2013,1,interm,3,1,194703.16,3478.27,2484.58,4758.68,9494.76,19040.3,37685.13,61136.76,51072.17,5552.51
GBRTENW,2013,1,interm,3,48,284.83,0,1.02,2.05,10.13,24.16,51.15,113.32,78.63,4.37
GBRTENW,2013,1,interm,3,49,363.9,0,2.04,4.08,9.11,19.13,32.11,88.28,167.66,41.48
GBRTENW,2013,1,interm,3,50,1805.22,2.05,6.14,27.56,104.28,212.39,335.08,539.51,522.55,55.67
GBRTENW,2013,1,interm,3,51,13657.94,6.16,34.77,228.82,854.37,1754.45,3049.6,4401.54,3086.99,241.22
GBRTENW,2013,1,interm,3,52,24516.84,6.13,47.07,246.23,1154.03,2615.85,5167.32,8066.35,6554.58,659.27
GBRTENW,2013,1,interm,3,53,1059.41,10.28,5.12,38.86,61.77,116.74,248.82,334.01,224.17,19.65
GBRTENW,2013,1,interm,3,54,2293.41,4.12,9.21,18.4,52.64,144.92,320.99,790.46,859.9,92.78
GBRTENW,2013,1,interm,3,55,56.93,12.28,8.19,8.19,8.11,6.04,7.02,2,5.09,0
GBRTENW,2013,1,interm,3,56,2421.82,1.05,2.05,4.09,20.23,76.47,255.76,725.28,1137.15,199.75
GBRTENW,2013,1,interm,3,57,4421.57,68.78,74.76,148.18,275.46,390.55,634.01,1159.46,1440.06,230.31
GBRTENW,2014,1,interm,3,1,195714.91,3469.24,2520.74,4571.89,9619.83,18677.5,38439.48,60916.7,51995.62,5503.96
GBRTENW,2014,1,interm,3,48,292.83,0,3.09,10.23,8.12,30.25,55.2,113.33,68.2,4.41
GBRTENW,2014,1,interm,3,49,337.75,0,0,2.05,14.22,20.17,41.13,73.25,145.06,41.87
GBRTENW,2014,1,interm,3,50,2164.32,1.01,2.06,37.83,127.91,223.75,407.58,618.99,654.83,90.35
GBRTENW,2014,1,interm,3,51,13189.24,2.05,38.07,200.39,826.29,1715.45,2913.24,4155.83,3086.68,251.23
GBRTENW,2014,1,interm,3,52,23526.11,6.14,41.09,258.66,1147.04,2591.15,4949.16,7665.34,6273.6,593.92
GBRTENW,2014,1,interm,3,53,1096.15,10.23,19.52,28.66,58.87,143.1,254.95,334.99,224.91,20.94
GBRTENW,2014,1,interm,3,54,2368.91,5.12,7.2,15.34,54.82,129.02,335.23,800.69,948.79,72.72
GBRTENW,2014,1,interm,3,55,57.26,6.12,14.39,7.16,8.12,6.04,6.02,2,4.09,3.31
GBRTENW,2014,1,interm,3,56,1932.38,0,5.14,4.09,20.3,40.32,192.67,612.13,903.45,154.26
GBRTENW,2014,1,interm,3,57,4462.16,61.25,67.77,162.7,298.46,401.14,617.35,1126.67,1455.73,271.06
GBRTENW,2015,1,interm,3,1,206502.4,3563.89,2537.7,4612.73,9776.95,19032.52,39537.41,64129.54,56525.97,6785.36
GBRTENW,2015,1,interm,3,48,269,1.02,1.03,9.16,18.27,15.11,52.15,93.29,73.51,5.47
GBRTENW,2015,1,interm,3,49,416.3,0,0,5.09,15.2,15.1,37.11,109.38,186.23,48.18
GBRTENW,2015,1,interm,3,50,2320.97,0,9.19,31.55,135.82,257.8,439.37,654.21,692.29,100.74
GBRTENW,2015,1,interm,3,51,13370.35,4.07,30.66,184.23,860.27,1699.86,2977.05,4208.8,3125.1,280.31
GBRTENW,2015,1,interm,3,52,23753.57,4.08,47.03,271.96,1161.25,2603.14,4979.14,7636.24,6365.31,685.45
GBRTENW,2015,1,interm,3,53,1170.5,8.24,10.23,34.62,67.9,168.18,282.87,332.09,244.49,21.9
