country,year,sex,list,agf,cause,total,d20_new,d30_new,d40_new,d50_new,d60_new,d70_new,d80_new,d90_new,d100p,Calculated total,Check total
USA,1979,2,long,4,106,2668.15,16.02,34.50,63.64,174.1,353.73,729.76,936.06,343.58,16.76,2668.15,0
USA,1979,2,long,4,107,2098.02,5.3,15.55,26.44,86.29,248.40,536.22,830.27,327.97,21.8,2098.24,-0.22
USA,1979,2,long,4,108,118133.55,89.94,427.44,1987.96,8362.68,21922.19,38905.52,36566.11,9504.08,359.98,118125.9,7.65
USA,1979,2,long,4,109,2021.13,5.89,16.38,41.07,168.40,376.89,610.08,593.44,197.09,11.94,2021.18,-0.05
USA,1979,2,long,4,110,158788.86,67.45,255.17,1318.64,5243.80,15999.53,39746.01,65261.53,29428.48,1483.65,158804.26,-15.40
USA,1979,2,long,4,111,6113.12,228.62,189.20,322.01,586.33,1154.99,1660.43,1564.02,393.86,13.24,6112.7,0.42
USA,1979,2,long,4,112,34409.44,761.19,480.79,924.70,2332.67,4886.79,8790.91,11388.47,4597.97,247.95,34411.44,-2.00
USA,1979,3,long,4,0,1913840.99,138502.91,48247.76,83429.11,208183.14,372484.42,492238.74,434722.11,130785.39,5247.41,1913840.99,0.00
USA,1979,3,long,4,1,1175347,135256.56,42420.12,60937.7,135980.43,226334.83,279096.17,229191.75,63765.09,2352.36,1175335.01,11.99
USA,1979,3,long,4,102,64.85,3.62,3.46,3.66,13.67,15.65,16.64,7.08,1.05,0.02,64.85,0
USA,1979,3,long,4,103,6669.69,132.74,173.24,458.19,1070.81,1872.00,1962.39,851.27,145.71,3.02,6669.37,0.32
USA,1979,3,long,4,104,3371.82,24.40,36.07,164.50,434.21,734.17,891.15,826.76,251.07,9.45,3371.78,0.04
USA,1979,3,long,4,105,16699.16,61.37,218.99,715.74,1966.79,3503.54,4592.56,4452.56,1144.86,42.08,16698.49,0.67
USA,1979,3,long,4,106,5164.4,41.61,81.27,148.43,366.44,778.29,1450.23,1698.68,578.41,21.04,5164.40,0
USA,1979,3,long,4,107,3565.58,13.97,32.32,66.50,178.90,505.84,992.69,1274.94,473.23,27.5,3565.89,-0.31
USA,1979,3,long,4,108,297121.96,360.32,2325.93,11020.15,36954.97,72734.60,92878.72,65621.17,14734.67,481.15,297111.68,10.28
USA,1979,3,long,4,109,5281.01,23.23,77.86,245.40,779.12,1316.86,1477.78,1043.09,303.64,14.04,5281.02,-0.01
USA,1979,3,long,4,110,317227.48,224.73,1254.47,6286.78,21973.08,48816.17,86874.09,107834.18,42035.57,1949.15,317248.22,-20.74
USA,1979,3,long,4,111,11962.21,407.48,310.31,599.38,1350.11,2607.61,3438.21,2606.11,618.92,23.63,11961.76,0.45
USA,1979,3,long,4,112,71365.83,1952.88,1313.72,2782.68,7114.61,13264.86,18568.11,19314.52,6733.17,323.97,71368.52,-2.69
USA,1980,1,long,4,0,1075077.97,93099.14,33837.41,52278.14,133126.79,236732.74,283223.82,194737.35,46490.03,1552.55,1075077.97,0.00
USA,1980,1,long,4,1,667962.05,90989.14,29551.55,35684.34,80149.67,138227.09,162144.23,106667.74,23763.87,781.85,667959.48,2.57
USA,1980,1,long,4,102,26.44,3.28,1.87,2.11,3.70,6.58,6.05,2.55,0.29,0,26.43,0.01
USA,1980,1,long,4,103,2254.97,69.95,88.70,168.62,414.10,667.42,568.16,240.63,37.25,0.09,2254.92,0.05
USA,1980,1,long,4,104,1720.25,15.72,28.17,104.91,283.46,452.31,474.61,286.63,73.34,1.06,1720.21,0.04
